model,size_kb,latency_ms,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,kappa,fps,compression_ratio
TF_TRANSFORMER_FP32,2474.4072265625,108.20319649996236,0.9677118327734228,0.9525854843719014,0.9573641527410172,0.9525854843719014,0.954581609037699,0.9680274997852448,0.9677118327734228,0.967626341839102,0.9557997521364322,0.9557213054345912,9.241871149345831,1.0
TFLITE_TRANSFORMER_FP32,295.19921875,0.2178288009017706,0.9677118327734228,0.9525854843719014,0.9573641527410172,0.9525854843719014,0.954581609037699,0.9680274997852448,0.9677118327734228,0.967626341839102,0.9557997521364322,0.9557213054345912,4590.761165925656,8.38216048484207
TFLITE_TRANSFORMER_FP16,163.62890625,0.2146547995507717,0.9675251959686452,0.9523131532172172,0.9572536312754364,0.9523131532172172,0.9543962743993436,0.9678232999944644,0.9675251959686452,0.9674344993487952,0.955540043567254,0.9554622232524064,4658.642630366496,15.122066652343097
TFLITE_TRANSFORMER_INT8_DYNAMIC,110.0546875,0.8580339998006821,0.9678984695782008,0.9525186608209988,0.9577073263897684,0.9525186608209988,0.9547385890229078,0.9681362647194868,0.9678984695782008,0.9677871165836508,0.9560438574976512,0.9559699028102024,1165.454982241142,22.483433307304608
TFLITE_TRANSFORMER_INT8_FULL,116.5234375,9.730445200577378,0.9677118327734228,0.9522463296663144,0.956877530586114,0.9522463296663144,0.954213661187144,0.9678966216410156,0.9677118327734228,0.9675898461192532,0.9557841346045636,0.9557149379229238,102.77022062060045,21.23527489104928
