model,auc_micro,auc_macro,auc_Downstairs,auc_Jogging,auc_Sitting,auc_Standing,auc_Upstairs,auc_Walking
TFLITE_TRANSFORMER_FP32,0.9987312145771494,0.9978698169657915,0.9951375051461507,0.9994722591138442,0.9997214632464122,0.999718314445747,0.993264710013799,0.9993757135121324
TFLITE_TRANSFORMER_FP16,0.9987315106601732,0.9978705972902621,0.9951395636064225,0.9994722591138442,0.9997214632464122,0.999718314445747,0.9932678085983656,0.9993758600238639
TFLITE_TRANSFORMER_INT8_DYNAMIC,0.9987327646588615,0.9978529722772088,0.9951515026759983,0.9994727541803414,0.9997208000636656,0.9997321544874299,0.9932598899933622,0.9993752739769379
TFLITE_TRANSFORMER_INT8_FULL,0.9970539599815579,0.9951618871178589,0.989059901193907,0.9986481384179524,0.9979331909701036,0.9957535495636317,0.9913327425365427,0.9982048650099511
