model,auc_micro,auc_macro
TFLite FP16,0.9987315106601732,0.9978705972902621
TF FP32,0.9987312110938199,0.9978698169657915
TFLite FP32,0.9987312145771494,0.9978698169657915
TFLite INT8_DYNAMIC,0.9987327646588615,0.9978529722772088
TFLite INT8_FULL,0.9970539599815579,0.9951618871178589
