model,auc_micro,auc_macro
TF FP32,0.9997018876963792,0.9996874335913795
TFLite FP32,0.9997018876963792,0.9996874335913795
TFLite FP16,0.9997013442467677,0.99968642855179
TFLite INT8_DYNAMIC,0.99970212922954,0.9996815419524746
TFLite INT8_FULL,0.9978480904961954,0.9965641918086596
