model,size_kb,latency_ms,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,kappa,auc_micro,auc_macro
TF_TRANSFORMER_FP32,3081.138671875,114.6001345012337,0.9848024316109424,0.9810622601929756,0.9788552459812974,0.9810622601929756,0.9797845050114182,0.9851138194909134,0.9848024316109424,0.9848455008499414,0.9837030757755404,0.9836922399074736,0.9997018876963792,0.9996874335913796
TFLITE_TRANSFORMER_FP32,995.7109375,0.3298059999942779,0.9848024316109424,0.9810622601929756,0.9788552459812974,0.9810622601929756,0.9797845050114182,0.9851138194909134,0.9848024316109424,0.9848455008499414,0.9837030757755404,0.9836922399074736,0.9997018876963792,0.9996874335913796
TFLITE_TRANSFORMER_FP16,520.546875,0.3646204005926847,0.9848024316109424,0.9810622601929756,0.9788552459812974,0.9810622601929756,0.9797845050114182,0.9851138194909134,0.9848024316109424,0.9848455008499414,0.9837030757755404,0.9836922399074736,0.9997013442467676,0.99968642855179
TFLITE_TRANSFORMER_INT8_DYNAMIC,314.265625,0.2584632001817226,0.983789260385005,0.9802452667289234,0.9779879816811972,0.9802452667289234,0.9789300348985888,0.9841006553148404,0.983789260385005,0.9838172701851338,0.9826181211772972,0.9826051325433384,0.99970212922954,0.9996815419524746
TFLITE_TRANSFORMER_INT8_FULL,325.0703125,2.399126401171088,0.9797365754812564,0.9770924607088772,0.9762759157955456,0.9770924607088772,0.9764114153712448,0.9801700509591116,0.9797365754812564,0.9797530308849066,0.9782794763910716,0.9782557689956346,0.9978480904961954,0.9965641918086596
