model,size_kb,latency_ms,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,kappa,fps,compression_ratio
TF_TRANSFORMER_FP32,3081.138671875,114.6001345012337,0.9848024316109424,0.9810622601929756,0.9788552459812974,0.9810622601929756,0.9797845050114182,0.9851138194909134,0.9848024316109424,0.9848455008499414,0.9837030757755404,0.9836922399074736,8.725993249067564,1.0
TFLITE_TRANSFORMER_FP32,995.7109375,0.3298059999942779,0.9848024316109424,0.9810622601929756,0.9788552459812974,0.9810622601929756,0.9797845050114182,0.9851138194909134,0.9848024316109424,0.9848455008499414,0.9837030757755404,0.9836922399074736,3032.08552912121,3.09441079316757
TFLITE_TRANSFORMER_FP16,520.546875,0.3646204005926847,0.9848024316109424,0.9810622601929756,0.9788552459812974,0.9810622601929756,0.9797845050114182,0.9851138194909134,0.9848024316109424,0.9848455008499414,0.9837030757755404,0.9836922399074736,2742.5783043804345,5.919041722947621
TFLITE_TRANSFORMER_INT8_DYNAMIC,314.265625,0.2584632001817226,0.983789260385005,0.9802452667289234,0.9779879816811972,0.9802452667289234,0.9789300348985888,0.9841006553148404,0.983789260385005,0.9838172701851338,0.9826181211772972,0.9826051325433384,3869.022744038266,9.804249738974793
TFLITE_TRANSFORMER_INT8_FULL,325.0703125,2.399126401171088,0.9797365754812564,0.9770924607088772,0.9762759157955456,0.9770924607088772,0.9764114153712448,0.9801700509591116,0.9797365754812564,0.9797530308849066,0.9782794763910716,0.9782557689956346,416.8183883566405,9.478376072484318
